name,code
Avocat,22
Banane,27
Citron jaune,102
Clémentine,114
Fruit de la passion,28
Kaki,291
Kiwi,29
Mandarine,117
Mangue,34
Melon,82
Melon Galia,85
Melon Jaune,86
Melon Vert,87
Mini pastèque,88
Nectarine Blanche,90
Nectarine Jaune,91
Noix de coco,37
Noix sèches,129
Orange,124
Pastèque,92
Pastèque Box,93
Pèche Jaune,96
Pèche plate,296
Poire ronde,42
Pomelo,125
Pomelo Exotique,127
Pomme Bicolore,48
Pomme Golden,50
Pomme Granny,274
Prune Jaune,83
Raisin blanc,106
Raisin noir,107
Raisin rosé,108
Artichaud,150
Aubergine,61
Butternut,172
Carotte,260
Celeri Branche,349
Celeri rave,175
Chou,176
Chou chinois,67
Chou doux,247
Chou fleur,177
Chou vert,178
Concombre,164
Concombre NOA,165
Courge Spaghetti,15
Fenouil,156
Gingembre,38
Panais,103
Patate Douce,36
Poivron Corne,358
Potimarron,184
Radis botte,163
Salade Batavia,151
Salade Laitue,159
Tomate Alongée,189
Tomate Cotelée colorée,182
Tomate cotelée rouge,194
Tomate ronde,199
Tomate ronde grappe,198
Baguette,850
Baguette céréales,1008
Baguette d'exeption,1006
Demi baguette rustique,895
Baguette rustique,857
Beignet chocolat,381
Beignet Pomme,912
Chausson aux pommes,890
20 chouquettes,889
Cookie chocolat au lait,875
Croissant,320
Croissant aux amandes,564
Donut au chocolat,891
Donut au sucre,366
Fozza crème lardons,505
Mini beignet au chocolat,900
Pain 400g,878
Pain choco crème,202
Pain complet,888
Pain aux raisins,347
Pain au seigle,882
Pavé céréales,852
Pavé aux figues,989
Pavé Label Rouge,1017
Pavé rustique,1009
Pastéis de nata,897
Petit pain céréales,1004
Tarte au sucre,881
Torsade chocolat,991
Sac de litière chat,370
Oranges Sanguines BOX,123
Fraises 900g,222
Blette,404
Bouteille d'eau 1.5L,2
Bouteille d'eau 2L,1
Framboises 125g,74
Sucrines 3pcs,153
Mini viennoiseries,555
Lait Patron,334
Endives 1kg,154
Pomme de terre 5kg,146
Abricot,80
Evian,953
Bananes BIO,26
Ananas,20
Ail 250 G,130
Ail 3 TETES,131
Ail 3 TETES BIO,132
Assortiment Pot au feu 2KG,170
Avocat 3 fruits,23
Avocat BIO,394
Avocat mur a point 2 fruits,24
Bananes 5 fruits,105
Bettraves BIO 500g,245
Blancs de poireaux 500g,186
Brocoli 500g,171
Carottes 1.5kg,196
Carottes Bio 1.5kg,197
Champignon 200G,265
Champignon 250g BIO,234
Champignons 500g,152
Citron 500g BIO,111
Citron Jaune 500g,128
Citron vert 500g,112
Coeur de romaine 2 pieces,57
Concombre Bio,240
Courgette 1kg,62
Courgette 2 fruits BIO,52
Echalote 250g BIO,133
Echalotes 500g,134
Endive jeune pousse 6 fruits,155
Fraises 250g,71
Fraises 500g,35
Framboises 125g,74
Epinards jeune pousse 125g,266
Kiwi 4 fruits bio,31
Kiwi 750g,299
Kiwi jaune 3 fruits,32
Laitue Iceberg,160
Mache 150g,243
Mandarine 1kg,116
Madarine 1.5kg,115
Mandarine 2kg,346
Melange jeunes pousses 125g,267
Myrtilles 125g,75
Navet 500g,181
Oignon 500g,231
Oignon jaune 1kg - Box,137
Oignon jaune 500g BIO,138
Oignon rouge 500g,139
Orange 1kg BIO,118
Orange 3kg,219
Orange a dessert 2kg,120
Orange a jus 2kg,122
Orange sanguine 1kg,123
Pomme de terre 5kg,146
PDT 1.5kg,140
PDT chair fondante 2.5kg,145
PDT conso 1kg,233
PDT CONSO chair f. blanche 2.5kg,143
PDT Conso fritable 2kg,248
PDT grenaille 1kg,256
PDT micro ondable 500g,148
PDT rouge 2.5kg,144
Poire 1KG,40
Poireau 1kg,183
Poivron deux fruits BIO,23
Poivrons 500g,65
Pomelos 3 fruits,126
Pomme 4 fruits BIO,297
Pomme a cuire 2kg,223
Pomme bicolore 2kg,47
Pomme club 6 fruits,43
Pomme golden 2kg,49
Pousses de haricot mungo 200g,385
Pousses epinards 400g,251
Radis 200g,232
Raisin 500g,104
Tomate cerise 250 g,259
Tomate cerise bio 250g,191
Tomate ronde 1kg,195
Tomate ronde grappe 500g bio,250
Tomates grappe cocktail 500g,193